company_code,year,index_id,index_name,unit,note,value
TRA,2023,34,Dividend payment,VND,,
TRA,2023,36,Number of employees,people,,
TRA,2024,1,Managerial ownership,%,,
TRA,2024,2,State ownership,%,,
TRA,2024,3,Institutional ownership,%,,
TRA,2024,4,Foreign ownership,%,,
TRA,2024,19,Product innovation,binary,,
TRA,2024,20,Process innovation,binary,,
TRA,2024,34,Dividend payment,VND,,
TRA,2024,36,Number of employees,people,,
VNM,2020,1,Managerial ownership,%,,
VNM,2020,2,State ownership,%,,
VNM,2020,3,Institutional ownership,%,,
VNM,2020,4,Foreign ownership,%,,
VNM,2020,19,Product innovation,binary,,
VNM,2020,20,Process innovation,binary,,
VNM,2020,34,Dividend payment,VND,,
VNM,2020,36,Number of employees,people,,
VNM,2021,1,Managerial ownership,%,,
VNM,2021,2,State ownership,%,,
VNM,2021,3,Institutional ownership,%,,
VNM,2021,4,Foreign ownership,%,,
VNM,2021,19,Product innovation,binary,,
VNM,2021,20,Process innovation,binary,,
VNM,2021,34,Dividend payment,VND,,
VNM,2021,36,Number of employees,people,,
VNM,2022,1,Managerial ownership,%,,
VNM,2022,2,State ownership,%,,
VNM,2022,3,Institutional ownership,%,,
VNM,2022,4,Foreign ownership,%,,
VNM,2022,19,Product innovation,binary,,
VNM,2022,20,Process innovation,binary,,
VNM,2022,34,Dividend payment,VND,,
VNM,2022,36,Number of employees,people,,
VNM,2023,1,Managerial ownership,%,,
VNM,2023,2,State ownership,%,,
VNM,2023,3,Institutional ownership,%,,
VNM,2023,4,Foreign ownership,%,,
VNM,2023,19,Product innovation,binary,,
VNM,2023,20,Process innovation,binary,,
VNM,2023,34,Dividend payment,VND,,
VNM,2023,36,Number of employees,people,,
VNM,2024,1,Managerial ownership,%,,
VNM,2024,2,State ownership,%,,
VNM,2024,3,Institutional ownership,%,,
VNM,2024,4,Foreign ownership,%,,
VNM,2024,19,Product innovation,binary,,
VNM,2024,20,Process innovation,binary,,
VNM,2024,34,Dividend payment,VND,,
VNM,2024,36,Number of employees,people,,
VOS,2020,1,Managerial ownership,%,,
VOS,2020,2,State ownership,%,,
VOS,2020,3,Institutional ownership,%,,
VOS,2020,4,Foreign ownership,%,,
VOS,2020,19,Product innovation,binary,,
VOS,2020,20,Process innovation,binary,,
VOS,2020,34,Dividend payment,VND,,
VOS,2020,36,Number of employees,people,,
VOS,2021,1,Managerial ownership,%,,
VOS,2021,2,State ownership,%,,
VOS,2021,3,Institutional ownership,%,,
VOS,2021,4,Foreign ownership,%,,
VOS,2021,19,Product innovation,binary,,
VOS,2021,20,Process innovation,binary,,
VOS,2021,34,Dividend payment,VND,,
VOS,2021,36,Number of employees,people,,
VOS,2022,1,Managerial ownership,%,,
VOS,2022,2,State ownership,%,,
VOS,2022,3,Institutional ownership,%,,
VOS,2022,4,Foreign ownership,%,,
VOS,2022,19,Product innovation,binary,,
VOS,2022,20,Process innovation,binary,,
VOS,2022,34,Dividend payment,VND,,
VOS,2022,36,Number of employees,people,,
VOS,2023,1,Managerial ownership,%,,
VOS,2023,2,State ownership,%,,
VOS,2023,3,Institutional ownership,%,,
VOS,2023,4,Foreign ownership,%,,
VOS,2023,19,Product innovation,binary,,
VOS,2023,20,Process innovation,binary,,
VOS,2023,34,Dividend payment,VND,,
VOS,2023,36,Number of employees,people,,
VOS,2024,1,Managerial ownership,%,,
VOS,2024,2,State ownership,%,,
VOS,2024,3,Institutional ownership,%,,
VOS,2024,4,Foreign ownership,%,,
VOS,2024,19,Product innovation,binary,,
VOS,2024,20,Process innovation,binary,,
VOS,2024,34,Dividend payment,VND,,
VOS,2024,36,Number of employees,people,,
