company_code,year,index_id,index_name,value,unit,source
NAF,2020,8,Selling expenses,110441084205.0,VND,pdf
NAF,2020,9,General and administrative expenditure,110441084205.0,VND,pdf
NAF,2020,14,Merchandise purchase of the year,5236031116.0,VND,pdf
NAF,2020,16,Outside manufacturing expenses,162985142823.0,VND,pdf
NAF,2020,17,Production cost,947416331952.0,VND,pdf
NAF,2020,21,Net Income,238874343.0,VND,pdf
NAF,2020,22,Total shareholders' equity,750905669907.0,VND,pdf
NAF,2020,24,Total liabilities,782473027063.0,VND,pdf
NAF,2020,25,Net cash from operating activities,65090415110.0,VND,pdf
NAF,2020,27,Cash flows from investing activities,-85389311642.0,VND,pdf
NAF,2020,28,Cash and cash equivalent,26853240725.0,VND,pdf
NAF,2020,29,Long-term debt,187667562347.0,VND,pdf
NAF,2020,30,Current assets,972419585045.0,VND,pdf
NAF,2020,31,Current liabilities,594805464716.0,VND,pdf
NAF,2020,33,Total inventory,175660407822.0,VND,pdf
NAF,2020,37,"Net plant, property and equipment",907088381.0,VND,pdf
NAF,2020,38,Firm age,25.0,years,yahoo
NAF,2021,1,Managerial ownership,10.0,%,yahoo
NAF,2021,6,Total sales revenue and Net sales revenue,1629278864172.0,VND,pdf
NAF,2021,7,Total assets,1654056488569.0,VND,pdf
NAF,2021,8,Selling expenses,147842631395.0,VND,pdf
NAF,2021,9,General and administrative expenditure,90999760073.0,VND,pdf
NAF,2021,10,Value of intangible assets,67872721620.0,VND,pdf
NAF,2021,12,Net operating income,90999760073.0,VND,pdf
NAF,2021,14,Merchandise purchase of the year,1323189588285.0,VND,pdf
NAF,2021,17,Production cost,1323189588285.0,VND,pdf
NAF,2021,21,Net Income,100422907564.0,VND,pdf
NAF,2021,22,Total shareholders' equity,836397836400.0,VND,pdf
NAF,2021,24,Total liabilities,817658652169.0,VND,pdf
NAF,2021,25,Net cash from operating activities,90423203934.0,VND,pdf
NAF,2021,28,Cash and cash equivalent,51698311611.0,VND,pdf
NAF,2021,29,Long-term debt,116817789828.0,VND,pdf
NAF,2021,30,Current assets,1029319761677.0,VND,pdf
NAF,2021,31,Current liabilities,700840862341.0,VND,pdf
NAF,2021,32,Growth ratio,33.98,%,computed
NAF,2021,33,Total inventory,132924064303.0,VND,pdf
NAF,2021,38,Firm age,26.0,years,yahoo
NAF,2022,1,Managerial ownership,10.0,%,yahoo
NAF,2022,6,Total sales revenue and Net sales revenue,1817811173265.0,VND,pdf
NAF,2022,7,Total assets,1743747866687.0,VND,pdf
NAF,2022,8,Selling expenses,190392616876.0,VND,pdf
NAF,2022,9,General and administrative expenditure,98422008660.0,VND,pdf
NAF,2022,14,Merchandise purchase of the year,1390664928069.0,VND,pdf
NAF,2022,17,Production cost,1390664928069.0,VND,pdf
NAF,2022,21,Net Income,135873671884.0,VND,pdf
NAF,2022,22,Total shareholders' equity,892187833749.0,VND,pdf
NAF,2022,24,Total liabilities,851560032938.0,VND,pdf
NAF,2022,25,Net cash from operating activities,92926986813.0,VND,pdf
NAF,2022,27,Cash flows from investing activities,-60142980430.0,VND,pdf
NAF,2022,28,Cash and cash equivalent,54000537646.0,VND,pdf
NAF,2022,29,Long-term debt,79276949746.0,VND,pdf
NAF,2022,30,Current assets,1166762878120.0,VND,pdf
NAF,2022,31,Current liabilities,772283083192.0,VND,pdf
NAF,2022,32,Growth ratio,11.57,%,computed
NAF,2022,33,Total inventory,157789222490.0,VND,pdf
NAF,2022,38,Firm age,27.0,years,yahoo
NAF,2023,1,Managerial ownership,10.0,%,yahoo
NAF,2023,6,Total sales revenue and Net sales revenue,1811371915100.0,VND,pdf
NAF,2023,7,Total assets,2043235491713.0,VND,pdf
NAF,2023,8,Selling expenses,190392616876.0,VND,pdf
NAF,2023,9,General and administrative expenditure,170159033480.0,VND,pdf
NAF,2023,14,Merchandise purchase of the year,860359992.0,VND,pdf
NAF,2023,17,Production cost,21228329694.0,VND,pdf
NAF,2023,21,Net Income,231493787788.0,VND,pdf
NAF,2023,24,Total liabilities,1065273264267.0,VND,pdf
NAF,2023,25,Net cash from operating activities,132393658506.0,VND,pdf
NAF,2023,27,Cash flows from investing activities,-259130482835.0,VND,pdf
NAF,2023,28,Cash and cash equivalent,62434607502.0,VND,pdf
NAF,2023,29,Long-term debt,90758888269.0,VND,pdf
NAF,2023,30,Current assets,1016641720903.0,VND,pdf
NAF,2023,31,Current liabilities,964514376008.0,VND,pdf
NAF,2023,32,Growth ratio,-0.35,%,computed
NAF,2023,33,Total inventory,267246962263.0,VND,pdf
NAF,2023,37,"Net plant, property and equipment",524579975591.0,VND,pdf
NAF,2023,38,Firm age,28.0,years,yahoo
NAF,2024,1,Managerial ownership,10.0,%,yahoo
NAF,2024,6,Total sales revenue and Net sales revenue,1733325845670.0,VND,pdf
NAF,2024,7,Total assets,2043235491713.0,VND,pdf
NAF,2024,8,Selling expenses,170159033480.0,VND,pdf
NAF,2024,9,General and administrative expenditure,170159033480.0,VND,pdf
NAF,2024,14,Merchandise purchase of the year,1031437259920.0,VND,pdf
NAF,2024,17,Production cost,1031437259920.0,VND,pdf
NAF,2024,21,Net Income,277613256920.0,VND,pdf
NAF,2024,22,Total shareholders' equity,985006301967.0,VND,pdf
NAF,2024,24,Total liabilities,1043979367404.0,VND,pdf
NAF,2024,25,Net cash from operating activities,140071362315.0,VND,pdf
NAF,2024,28,Cash and cash equivalent,54365245778.0,VND,pdf
NAF,2024,29,Long-term debt,187479941578.0,VND,pdf
NAF,2024,30,Current assets,991066823419.0,VND,pdf
NAF,2024,31,Current liabilities,856499415826.0,VND,pdf
NAF,2024,32,Growth ratio,-4.31,%,computed
NAF,2024,33,Total inventory,211153464465.0,VND,pdf
NAF,2024,37,"Net plant, property and equipment",-21176009549.0,VND,pdf
NAF,2024,38,Firm age,29.0,years,yahoo
NTP,2020,1,Managerial ownership,10.0,%,yahoo
NTP,2020,6,Total sales revenue and Net sales revenue,4788713095640.0,VND,pdf
NTP,2020,8,Selling expenses,745661295573.0,VND,pdf
NTP,2020,9,General and administrative expenditure,520926859859.0,VND,pdf
NTP,2020,12,Net operating income,520926859859.0,VND,pdf
